date,store_id,product_id,quantity_sold,revenue
2026-07-22,ST01,PRD001,6,1860.00
2026-07-22,ST02,PRD001,3,930.00
2026-07-22,ST03,PRD001,3,930.00
2026-07-22,ST01,PRD002,6,1470.00
2026-07-22,ST02,PRD002,5,1225.00
2026-07-22,ST03,PRD002,5,1225.00
2026-07-22,ST01,PRD003,5,675.00
2026-07-22,ST02,PRD003,4,540.00
2026-07-22,ST03,PRD003,4,540.00
2026-07-22,ST01,PRD004,7,196.00
2026-07-22,ST02,PRD004,4,112.00
2026-07-22,ST03,PRD004,4,112.00
2026-07-22,ST01,PRD005,4,460.00
2026-07-22,ST02,PRD005,5,575.00
2026-07-22,ST03,PRD005,5,575.00
2026-07-22,ST01,PRD006,4,56.00
2026-07-22,ST02,PRD006,5,70.00
2026-07-22,ST03,PRD006,7,98.00
2026-07-22,ST01,PRD007,5,600.00
2026-07-22,ST02,PRD007,7,840.00
2026-07-22,ST03,PRD007,6,720.00
2026-07-22,ST01,PRD008,0,0.00
2026-07-22,ST02,PRD008,1,175.00
2026-07-22,ST03,PRD008,0,0.00
2026-07-22,ST01,PRD009,3,375.00
2026-07-22,ST02,PRD009,2,250.00
2026-07-22,ST03,PRD009,2,250.00
2026-07-22,ST01,PRD010,4,1100.00
2026-07-22,ST02,PRD010,3,825.00
2026-07-22,ST03,PRD010,3,825.00
2026-07-22,ST01,PRD011,6,654.00
2026-07-22,ST02,PRD011,4,436.00
2026-07-22,ST03,PRD011,4,436.00
2026-07-22,ST01,PRD012,5,550.00
2026-07-22,ST02,PRD012,2,220.00
2026-07-22,ST03,PRD012,4,440.00
2026-07-22,ST01,PRD013,4,1196.00
2026-07-22,ST02,PRD013,4,1196.00
2026-07-22,ST03,PRD013,2,598.00
2026-07-22,ST01,PRD014,0,0.00
2026-07-22,ST02,PRD014,0,0.00
2026-07-22,ST03,PRD014,0,0.00
2026-07-22,ST01,PRD015,2,1998.00
2026-07-22,ST02,PRD015,1,999.00
2026-07-22,ST03,PRD015,3,2997.00
2026-07-22,ST01,PRD016,5,995.00
2026-07-22,ST02,PRD016,5,995.00
2026-07-22,ST03,PRD016,5,995.00
2026-07-22,ST01,PRD017,4,5196.00
2026-07-22,ST02,PRD017,3,3897.00
2026-07-22,ST03,PRD017,2,2598.00
2026-07-22,ST01,PRD018,2,920.00
2026-07-22,ST02,PRD018,3,1380.00
2026-07-22,ST03,PRD018,4,1840.00
2026-07-22,ST01,PRD019,0,0.00
2026-07-22,ST02,PRD019,0,0.00
2026-07-22,ST03,PRD019,0,0.00
2026-07-22,ST01,PRD020,0,0.00
2026-07-22,ST02,PRD020,0,0.00
2026-07-22,ST03,PRD020,0,0.00
2026-07-23,ST01,PRD001,4,1240.00
2026-07-23,ST02,PRD001,4,1240.00
2026-07-23,ST03,PRD001,4,1240.00
2026-07-23,ST01,PRD002,5,1225.00
2026-07-23,ST02,PRD002,6,1470.00
2026-07-23,ST03,PRD002,4,980.00
2026-07-23,ST01,PRD003,5,675.00
2026-07-23,ST02,PRD003,5,675.00
2026-07-23,ST03,PRD003,5,675.00
2026-07-23,ST01,PRD004,7,196.00
2026-07-23,ST02,PRD004,7,196.00
2026-07-23,ST03,PRD004,6,168.00
2026-07-23,ST01,PRD005,5,575.00
2026-07-23,ST02,PRD005,6,690.00
2026-07-23,ST03,PRD005,4,460.00
2026-07-23,ST01,PRD006,5,70.00
2026-07-23,ST02,PRD006,4,56.00
2026-07-23,ST03,PRD006,6,84.00
2026-07-23,ST01,PRD007,7,840.00
2026-07-23,ST02,PRD007,6,720.00
2026-07-23,ST03,PRD007,4,480.00
2026-07-23,ST01,PRD008,1,175.00
2026-07-23,ST02,PRD008,0,0.00
2026-07-23,ST03,PRD008,0,0.00
2026-07-23,ST01,PRD009,2,250.00
2026-07-23,ST02,PRD009,1,125.00
